HBO_WO,Brincode,Brin_volgnr,Isatcode,Type_HO,Opl_vorm,Voertaal,Studiejaar,Fixus,Maand,Herkomst,Geslacht,meercode_V,meercode_A,Status,Hogerejaars,Herinschrijving,1cHO_L,1cHO_K,Aantal,etl_ingestion_timestamp,etl_is_deleted
H,22OJ,0,30029,B,1,2,2025,N,9,N,M,2,0,V,N,N,1,1,22,2025-06-23,0
W,21PE,0,50645,B,1,1,2025,N,9,N,V,3,0,V,N,N,1,1,22,2025-06-23,0
W,21PK,2,56551,B,1,1,2025,N,9,N,V,1,0,V,N,N,1,1,30,2025-06-23,0
W,21PC,0,56604,B,1,2,2025,N,9,E,V,1,1,V,N,N,1,1,24,2025-06-23,0
H,30GB,13,34686,B,1,1,2025,N,9,N,V,1,0,I,J,J,6,6,58,2025-06-23,0
W,21PN,0,56604,B,1,1,2025,N,9,N,V,2,0,V,N,N,1,1,43,2025-06-23,0
W,21PE,0,50950,B,1,,2025,N,9,N,M,2,0,V,J,J,6,6,23,2025-06-23,0
W,21PC,0,50019,B,1,2,2025,N,9,N,M,1,0,I,J,J,6,6,24,2025-06-23,0
H,30VP,0,34808,B,2,,2025,N,9,N,V,1,0,I,J,J,6,6,55,2025-06-23,0
W,21PD,0,66990,M,1,2,2025,N,9,R,M,0,1,A,N,N,1,1,30,2025-06-23,0
W,21PF,0,56955,B,1,1,2025,N,9,N,V,2,0,V,N,N,1,1,30,2025-06-23,0
W,21PF,0,56956,B,1,2,2025,N,9,R,V,0,1,A,N,N,1,1,62,2025-06-23,0
W,21PJ,0,50019,B,1,2,2025,N,9,E,V,2,0,V,N,N,1,1,39,2025-06-23,0
W,21PK,0,60830,M,1,2,2025,N,9,R,V,0,1,A,N,N,1,1,28,2025-06-23,0
H,00MF,0,39111,B,1,1,2025,N,9,N,M,1,1,A,N,N,1,1,36,2025-06-23,0
W,21PJ,0,56051,B,1,2,2025,N,9,E,V,4,0,V,N,N,1,1,22,2025-06-23,0
H,25BE,0,34402,B,1,1,2025,N,9,N,M,1,0,V,N,N,1,1,40,2025-06-23,0
W,21PL,0,50645,B,1,1,2025,N,9,N,M,3,0,V,N,N,1,1,26,2025-06-23,0
H,25JX,13,39111,B,1,,2025,N,9,N,V,1,0,I,J,J,6,6,39,2025-06-23,0
H,21RI,0,34507,B,1,1,2025,N,9,N,V,1,2,A,N,N,1,1,26,2025-06-23,0
H,30GB,0,34609,B,1,1,2025,N,9,N,V,1,0,I,J,J,6,6,32,2025-06-23,0
W,21PF,0,60348,M,1,2,2025,N,9,E,M,1,0,V,N,N,1,1,23,2025-06-23,0
W,21PD,0,56838,B,1,1,2025,N,9,N,M,1,0,V,N,N,1,1,41,2025-06-23,0
W,21PB,0,50207,B,1,1,2025,N,9,N,V,2,0,V,N,N,1,1,24,2025-06-23,0
H,22OJ,0,34116,B,1,,2025,N,9,N,V,1,0,V,J,J,6,6,35,2025-06-23,0
H,31FR,0,34464,B,1,1,2025,N,9,N,M,1,0,I,J,J,6,6,24,2025-06-23,0
W,21PK,0,59318,B,1,,2025,N,9,R,V,1,0,V,J,J,6,6,40,2025-06-23,0
W,21PM,0,50700,B,1,1,2025,N,9,N,M,1,0,V,N,N,1,1,38,2025-06-23,0
W,21PE,0,56551,B,1,,2025,N,9,N,V,1,0,V,J,J,6,6,77,2025-06-23,0
H,28DN,0,34402,B,1,1,2025,N,9,N,V,1,0,V,N,N,1,1,56,2025-06-23,0
W,21PL,0,65014,M,1,2,2025,N,9,R,M,0,1,A,N,N,1,1,30,2025-06-23,0
H,22OJ,0,34479,B,1,1,2025,N,9,N,M,1,0,V,N,N,1,1,38,2025-06-23,0
H,25BE,0,34507,B,1,1,2025,N,9,N,V,2,0,V,N,N,1,1,34,2025-06-23,0
H,25BE,0,34507,B,1,1,2025,N,9,N,V,1,1,A,N,N,1,1,45,2025-06-23,0
